,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV-transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.00137485137627823,0.00162077086547868,0.000535755299874103,0.110067869390843,0.226272781149376,0.373278688874905,0.00344124958435102,0.27025542973519,0.000392783619984893,0.000122526578918006,0.00275948754403014,0.00135252851415462,0.0682491631504788,0.356065722617258,0.00390259840273162,0.00293451915341893,0.000740678804755958,7.84741056095858e-05,0.000662796741387379,0.201886222334452,0.00272035319068063,0.226075594516603,0.000160090071906147,0.000724170924698034,0.000185606380344368,0.157243218895114,0.00139380198267434,0.0406952115138773,0.191190654363925,0.0997452028440924,0.00113177137402895,0.000474568015167797,0.525656192795993,0.00107726721950713,0.138848616769164,0.000184760711779973,0.00181641214504893,0.000775658999110717,0.00372139331919955,0.102121868783682,0.293860904780723,0.0969828473457114,0.077442795212789,0.0995218271584913,0.0400636332047105,0.190903565442389,0.00111161064331403,0.34344423991804,0.0606178037054801
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.000458285529441338,0.00141744813715556,0.000192353180353701,0.00373636168532407,0.487791872632339,0.0660092148609259,0.00212784266826189,0.00142663666243436,0.260610728643752,0.328139980668723,0.00233270729547197,0.00390882210530341,0.00939487725235724,0.482929077117513,0.191318175922142,0.00303001101953862,0.592562935735114,0.148590946658075,0.000736230590164995,0.00137331318906436,0.180470088144137,0.00567820644704005,1.03976392597225e-05,0.000458676542251387,0.00123517460472673,0.023462612667383,0.000294959958918739,0.10205166023106,0.230648354817948,0.180116893141324,0.00101091314473564,0.00161475467694118,0.291162698432247,0.000254434021786154,0.186715562357267,0.000915492104228355,0.00361655449569826,8.72897985987076e-05,0.00340604777284541,0.0714821564953594,0.0183176691190937,0.295314890980957,0.0134582866978513,0.00210614269427288,0.000885488679414811,0.00575397074194042,0.00225141239138127,0.000264773253320255,0.0575452649213107
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.000121542485721604,0.00157964306358167,0.00364044179651274,0.29575904984592,0.247577685678523,0.0372020916415178,0.00395657597183291,0.0257152025400269,0.00294833102284709,0.0573942575457949,0.0563973503239493,0.00264789723866938,0.0611239504036052,0.245518316237146,0.365223534388636,0.00307542163444624,0.00353109813500717,0.283762519059035,0.00242690266636081,0.210644240033146,0.00128942317249891,0.00339796351072141,0.00323490647317707,0.0916907418989581,0.00245662938551397,0.0333276471818521,0.00373410862906754,0.00380740295852596,0.132603627785335,0.173469488666731,0.000440342641463574,0.000969725984097712,0.53309028241459,0.000704574363875406,0.153242381297617,0.00196714959148527,0.001637179054849,0.144643943543466,0.00316082093700065,0.366750997527513,0.370457811910392,0.182229971080798,0.124382498480909,0.156588450306052,0.105140624334839,0.308324929314448,0.00114314172674363,0.195533803507502,0.208962789699547
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.00126871215430495,0.142315600465284,0.00377747874705133,0.0374485978709041,0.259005887696961,0.0564403564844503,0.00123866214093343,0.12841745772301,0.0450693939460881,0.00319786497357271,0.00218819255434378,0.00237943285679015,0.304943997339596,0.41936446861044,0.000935238301652729,0.000225930402841704,0.00108458777000724,0.0790299408235773,0.00183546756426764,0.00385836656190977,0.00320944607442723,0.171884688395879,0.333385059304244,0.0150881096021711,0.00231673324087402,0.00207019148179159,0.000928738824941467,0.378383366333237,0.330997593497973,0.000423687540345665,0.00237823677616789,0.161542656692808,0.41466114581852,0.0605983160614543,0.0011074300264436,0.153072642093469,0.00396570174864086,0.00348080876160682,0.000402888465180383,0.342391902664747,0.00156587307126833,0.000624439490809813,0.00397750659391729,0.213726498057368,0.00285699903757145,0.228606436018274,0.00365834053735966,0.275055182330084,0.00297083586258072
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.028636349686386,0.000109825290500604,0.000737764006848326,0.178897062102557,0.000618941473056614,0.00344470148158413,0.00377602574955571,0.00199228401352333,0.329162498598915,0.0667511492811933,0.00206602572801101,0.00392016922951597,0.321606596511692,0.323717923302551,0.433087512869495,0.000917844105005531,0.00269053927287987,0.000909500484512767,0.000671619943318866,0.218847482251801,0.00343941906437336,0.101368069556506,0.354205205138103,0.133601880625546,0.00167618193265191,6.1928892176566e-07,0.00235735109836169,0.00100824973186974,0.0377388122671748,0.0024159933929248,0.00388055012253932,0.00340751725831373,0.527222752342576,0.000514739219889434,0.364537000945709,0.00101903960097955,0.000977423935653932,0.00228071421989023,0.00181374437475333,0.511969090029765,0.18573623106018,0.135901539486086,0.274102150560238,0.276147698772369,0.00337402072381892,0.405837102129905,0.00252132119029945,0.168888843258645,0.00205335630138658
KEGG_GALACTOSE_METABOLISM,0.0015223769697122,0.000295518321685503,0.0373580068932599,0.00280380558418726,0.163622119904381,0.201619694814781,0.00117201962396592,0.000170856136899316,0.107779367329435,0.0279097684011015,0.0025618079902794,0.00387435623225293,0.297140759163975,0.205637336950753,0.356252787863636,0.00137635877073616,0.182141274016141,0.00180847752601508,0.0026266813592706,0.329920064025419,0.00292251518630362,0.206215175989415,0.00368485967751778,0.000158412642217335,0.00208941788632956,0.265249236593395,0.000365098109626644,0.0913954042598979,0.0272718549264498,0.00172879434813577,0.00250447911457013,0.0010312163775838,0.427463194021491,0.00131062434360273,0.000881113897917785,0.00050730141272631,0.00218667514363709,0.00335408345110901,0.387185741416086,0.101799514624948,0.453863896137747,0.0319328257693731,0.206549414223142,0.358950134710595,0.21069555364542,0.228123680553457,0.00179893555673787,0.559462165131647,0.000139947274225165
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,0.00206717946898762,2.62071645047862e-05,0.260700386052607,0.155587581442181,0.00936717661011037,0.241329909155565,0.238222611737308,0.374910572112934,0.00265751997287378,0.0026078757910485,0.000957350918951605,0.00370776523672045,0.132401118777039,0.0421913298036286,0.000285995364371853,0.000128215151030237,0.00362622902779394,0.378270160285519,0.00053242647662561,0.00351823284372488,0.429238388833398,0.0167199354110393,0.45342832853486,0.00327857040390522,0.140719409515327,0.000514237805883315,0.101909247028468,0.349819340859382,0.12029182908142,0.00211949569140815,0.00294470575534117,0.000805240811711874,0.28421208110128,0.0947320404533591,0.311559257228874,0.0353759330200801,0.00182194842680037,0.0025214771410495,0.000749638188183973,0.00365024565278417,0.00373907784431579,0.0547093590434974,0.285521821100858,0.212094789312712,0.0881621665129713,0.200645203635783,0.17853264543457,0.536536614424242,0.011144048306671
KEGG_FATTY_ACID_METABOLISM,0.000403644678984897,0.00396974031015132,0.210097611341774,0.091670771969879,0.196225357691195,0.00375903450253621,0.511481649325945,0.0540540616251528,0.00243491102708319,0.000734116926240239,0.00320392233291542,0.00131728578303789,0.159013897860576,0.204145948906297,0.00176044342605312,0.000965189465048989,0.000921164248617398,0.710255265746843,3.33377668485902e-06,0.0997284636795865,0.0738151871369573,0.0350891898020118,0.116751632618018,0.0036489808052288,0.00210950639178968,0.119203849950213,0.00378730535539032,0.395937435646898,0.000189421040154048,0.0879035157495216,0.000166989999280953,0.00310327110410435,0.230128684067627,0.00244154769655577,0.0097608099400938,0.0003361277127271,0.000569466128887409,0.0287987994889408,0.00318046538783886,0.0146294350574094,0.161984437740426,0.243475739825225,0.21398966225994,0.000260437852686376,0.259327884551437,0.122435733924641,0.278895083158275,0.10364715765426,0.00218975120630126
KEGG_STEROID_BIOSYNTHESIS,0.00109773311397347,0.00157527481677057,0.0770998017450553,0.00158039467154313,0.00223314624070028,0.093173610793286,0.128269284520791,0.00171960251284177,0.405893474038893,0.00156814777007458,0.00225526412844062,0.000484897504820122,0.00108125271788667,0.000760747084920144,0.0834425500749091,0.00265590914577041,0.00208616935342752,0.361628711216224,0.00108549343039582,0.00236468347444958,0.00333080204992208,0.134583656560781,0.0839057377492459,0.000697525255014359,0.061619351703688,0.069709720551225,0.00030537353463644,0.00212989306278929,0.00234869034949239,0.265549365479624,0.0030509995756948,0.0116499624877677,0.452989739664993,0.143814891564046,0.419386774448426,0.00320760759688011,0.126892622709167,0.00382753340505807,0.00303472945780169,0.183823504451866,0.255675030784271,0.266950832171366,0.0872210528366476,0.00370969979183862,0.226738542901707,0.46393389659485,0.000827192082685649,0.3982783416672,0.0949432371025029
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.272155268610184,0.102179132781994,0.00204342528992164,0.00323804763218902,0.0619022959268439,0.000331627592722661,0.000690109497316855,0.150397028255487,2.55466704819334e-05,0.0984749613077679,0.000869654562243205,0.00281870416377162,0.00380500840120491,0.00131142504564298,0.00103072870046521,0.00318845795299442,0.000500979693378859,0.556533845676462,0.000368464531348062,0.00326816161941367,0.00225506526521116,0.42199626852132,0.000651484654580249,0.00112624343173615,0.000225980068827362,0.00333389391834914,0.00235727053828282,0.000731794475528808,0.0845750787604165,0.259303533787556,0.00190155844787483,0.256210360481009,0.339249316317678,0.00220706061520806,0.000536509810007951,0.00163234756533848,0.178782981232316,0.00207983578995397,0.00125496491869374,0.105473816387904,0.0026546803302008,0.054800527328413,0.177177385341545,0.00240477342483266,0.117161618032771,0.187678389080455,0.300062906458648,0.435335212659809,0.115894187146011
