,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV-transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.000800086048897356,0.000283388395095244,0.117394460166175,0.000883635887177661,0.0526523624251031,0.0514494788539797,0.000446513284230605,0.000289802088169381,0.000604521472239867,0.0967184500669997,0.0778086594552617,0.0559464376140309,0.281200501595497,0.662409902234989,0.4456112453525,0.322805655644602,0.327739034132005,0.000202453628880903,0.17504345518749,0.0110065842266144,0.000154939186060801,0.264125177479374,7.98560527618974e-05,9.48415675666183e-05,0.139842209355151,0.000372257651295513,0.000657069517532364,0.000852039805613458,0.000716310636140406,0.149851537112917,0.00053665222437121,0.000377304846886545,0.113179490095348,0.000567767422413453,0.167485280228635,0.00047646985645406,0.00097141951136291,0.000205438961740583,0.000955460186814889,0.0283013834818962,0.0406969644069065,0.16722318897622,0.0470699341385159,0.00044568639760837,0.0743763126666748,0.140185836805445,0.000126395153347403,5.86868447717279e-05,0.199608929695653
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.000610217191511765,0.000148426847532392,0.000120473815593868,0.000870231776265427,0.334364203760933,0.0310613692473387,0.000802806901512668,8.32152040675283e-05,0.0381611992237584,0.318301855482068,0.180677719844323,0.101373761346905,0.116364531760574,0.455485659889506,0.257199690137726,0.195790820569376,0.369000909262323,0.116521253467262,0.000305972508853301,0.121163390083888,0.0959679495459668,0.126586957519773,0.000221446353476495,0.000180440746480599,3.32742028404027e-05,0.000965871520107612,2.07835179753602e-05,0.120421331627538,0.166178858713692,0.222653123761688,0.000197485120268539,0.000710930853849277,0.000932888303650543,0.000295463798800483,0.130074176375925,0.000107754887314513,0.135341370393868,0.0458616651570989,0.000660836849827319,0.194314238439487,0.0423329959743184,0.301479015641372,0.148999300223775,0.000396330062067136,0.208148792719001,0.0681525407477687,0.000748441929696128,0.000613026341889054,0.246023663988578
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.233476582254705,0.000973234364762902,0.164013809283751,0.000393161667045206,0.233724317863162,4.22455449588597e-05,0.00017658390966244,0.000693550843046978,0.252257449356999,0.166429315458011,0.198794483573294,0.000657984969206154,0.0664613650976768,0.573526381074717,0.186021985383477,0.134984642893908,0.378011569671822,0.000795228213537484,0.462196644996209,0.321067357230019,0.0264347110468388,0.177192159306122,0.000368701200466603,0.0321310195408141,0.00060298062977381,1.50671442970634e-05,0.0462055899427985,0.0301494057262262,0.000145842113299295,0.0899237445394314,0.000275689167669043,0.24250449952793,0.170815086897527,0.000912600812269375,0.0810549374952808,0.00079664208041504,0.000755365604767576,0.11689138407446,0.000747203037608415,0.185213721771161,0.0591406993580709,0.316403926796798,0.358468906604154,0.000964510038727894,0.431331050626624,2.79224365949631e-05,0.000146325240377337,0.000278244829503819,0.0221143423313643
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.0430688328574074,0.000521610378287733,0.000978803062345833,0.0105744643469006,0.118993650383546,0.10947854921413,0.125845112962202,0.0882208504038901,0.387806641512526,0.000336859376635402,8.79982172045857e-05,0.0542665312599725,0.0859773635262596,0.000125668544555083,0.213526066412142,0.000808460437227041,0.266665732031213,0.000737296549603343,0.000404386130860075,0.0882565183813865,0.121064835013262,0.24439293607315,0.120157364015191,0.000752606409369037,0.000139816000824794,0.00032506286399439,0.196762677186039,0.0450951164165534,0.0640393582578395,0.000112245690310374,0.000372294373810291,0.000165118820033968,0.162809330688446,0.169006527559832,0.000897250975016505,0.089275589584364,0.16916848491806,0.000320388083113357,0.000744168508099392,0.111066465180571,0.128812523530954,0.000524995198706165,0.000959384049056098,0.136437452656639,0.112134271006178,0.000891433859011158,0.000398537914501503,0.329484854563406,0.206959695265349
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,1.06502543203533e-05,0.000191727570258081,2.85886060446501e-05,0.125711854056306,0.000428330348106101,0.000403705534758046,0.000809656216064468,0.0009320556987077,0.0105310513486673,0.0568912918743929,0.000478413781384006,0.000380496239988133,0.269661492228687,0.164982178528045,0.247509504084242,0.266238742504617,0.258637882771542,0.193534918509097,0.00033414576202631,0.185180773660712,0.000508043438429013,0.000322719583986327,0.116442886857898,0.000214643111685291,0.231276296044252,1.71808993909508e-05,0.259070037913152,0.000491209274856374,0.000717324662255123,0.124252819002635,0.000143996850121766,9.21866917051375e-05,0.616763884702409,0.0858884001399854,0.10514627070847,0.000898370741168037,0.0800982167646531,0.0219854990646616,0.00026379533065483,0.0835367353924695,0.333673488002358,0.212989964689072,0.0565778568187488,0.000113942928845063,0.000200557130854577,0.058934817690888,7.43823687080294e-05,0.249794147731146,0.193273090955651
KEGG_GALACTOSE_METABOLISM,0.357796032402865,0.000242328201653436,0.000199174775741994,0.000661375117255375,0.0889217996650294,0.000881026495015249,0.000141444255597889,0.000935249568428844,0.00274079866576512,0.176221250198093,0.0753911527153268,0.000120207746978849,0.194845766532542,0.477704093584075,0.000816022450802848,0.055762108928656,0.415855850781563,0.16037835460555,0.0817701649925468,0.180249367319054,0.000310651500010863,0.269270604786643,0.000148280120687559,0.0119105856006156,0.137269173210629,0.000302089783363044,0.103785594430665,0.000644766981713474,0.000289510044967756,0.454763086493043,0.000663475021021441,0.201012354351703,0.0468243675150677,0.000144286586903036,0.000614864012226462,0.000124240775126964,0.0548772823767449,0.389264204650759,0.000528066412778571,0.199101242272101,6.36147661134601e-05,0.203792629361703,0.0579421495872806,0.0893435045462217,0.0978144283533065,0.155180968095618,0.000375859522493556,0.000240592636168003,0.31119122126067
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,0.10387585721295,0.000675372581928968,0.297890676386389,0.0834602762859097,0.333728774211974,0.165232849181037,0.000277268078178167,0.256930496864307,0.000329164473805577,0.111977201448,0.000368353506550193,0.000734178796643391,0.071504870595302,0.400301062723432,0.190799198978378,0.00093907353724353,0.000120375907514244,0.0351163177882034,0.123920651700973,0.025333530048091,0.0553033262502445,0.000723813865566626,0.0351676421177409,0.000653951755259186,0.0541907830293065,0.000871430405648425,0.115502192243082,0.0216850798470955,0.186591753151143,0.000283395809819922,0.000611836588010192,0.0449422555094772,0.354764121584313,0.187171806538886,0.20673802276881,0.227073359764332,0.000915911834919825,0.000397871973691508,0.0469534394947391,0.000802738301455975,0.00288273263573991,0.0734115455444868,0.193001980071423,0.000134584554238245,0.0846340611946866,0.171999345344501,0.000651858522789553,0.000388411147519946,0.135451301981686
KEGG_FATTY_ACID_METABOLISM,0.000796342631569132,0.000406865210738033,0.259665375628346,0.339837916686478,0.369751089219211,0.108019134477229,0.18737560433921,0.0706580593133913,0.000916776712285355,0.0300288396922157,0.151339849289407,0.000967515179654583,0.000457822591764852,0.0633582207851978,0.000637606741860509,0.000987044618465006,0.000928815683349967,0.299003042120345,0.000454450287856162,0.000370587844168767,0.0967600669543795,0.194085821079405,0.0469382348401412,0.00080828435625881,0.0644917034671375,0.000334927251562476,0.175884551326449,0.152824370609982,0.0359928244234865,0.092466298237886,7.7684385702014e-05,0.0947266613389493,0.375918877701516,0.141590711666234,0.0827016407252101,0.000132314410991967,0.000908254033187404,0.0177122201400848,0.115868665355723,0.176453478392313,0.000934325088317655,0.000577357162721455,0.150318134099876,0.000538057693745941,0.332531370167296,0.178177021119122,0.0573527779756148,0.154225557918782,0.125642948249507
KEGG_STEROID_BIOSYNTHESIS,0.00085853632632643,0.000483435071771964,0.0528818885146152,0.000410432999022305,0.000406905848998576,0.000855565008707345,0.313720978496848,0.000238043811650904,0.282753109944121,0.200406848107666,0.025790431561063,0.0142004604872972,1.53001097496599e-05,0.000466211797902361,0.000297959018032998,0.127123111663859,0.000384402500465512,0.3652622220617,0.0125384600744917,0.000674623215105385,0.0585040176927919,0.0940627641457403,0.000883407910587266,0.000227062569232658,0.193691383004103,0.0914616237396563,0.0359022756062636,0.264608798530795,0.030633965650971,0.141022848189837,0.000182876415085047,0.162099657560623,0.194795877895594,0.0450420359423559,0.113094171877406,0.000809502775082365,0.029059852135104,0.000112529185600579,0.000618044359143823,0.0230276201569733,0.000980777774006128,0.0234853617163218,0.0734862655253871,0.000660720351384953,0.179140024600202,0.255797870686843,0.000729701071279123,0.277085189198577,0.000706524637760594
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.000319996849866584,0.223382286849646,0.000717829601606354,0.0883642494134801,0.000751609241822734,0.000966573337325826,2.61825483758003e-05,0.108555924856312,0.0342014428379735,0.000713615760905668,0.0330462915833606,0.0561475004622173,0.255276410670578,0.164718131606918,0.190371974280221,0.306476317744402,0.000324073940748349,0.159675538766801,0.000465336055494845,0.210778199843696,0.00061973484698683,0.337816006439441,0.000867710378719494,0.000994024940766394,0.000778106046142057,0.000256249344907701,0.000648738011950627,0.170600128842279,0.0232660143361392,0.0243301395098348,0.000867571306880564,0.147501185232003,0.0245071380895553,0.00071329051326029,6.41086865216494e-05,0.000236765033332631,0.000217352474108338,0.0230667009086368,0.0673942454007304,0.127064837689514,0.230601296126838,0.0618973997841047,0.000408771593822166,0.117809182728172,0.000383277379907668,0.0710516822888635,0.0613192045232713,0.000934011455625296,0.0473616284363404
