,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV-transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.000461538972565904,0.000582324722083285,0.167163983080378,0.0359057766027151,0.147806884146737,0.000209261131938547,0.000713324564741924,0.000439011012669653,0.00019082448631525,0.102006691655433,0.187552975239555,0.000256948437541723,0.149872167131914,0.161544746368279,0.00155973074428012,0.0749799590002738,0.288169973043274,5.74243445880711e-05,0.0326845549902492,0.0998389556830463,0.000934880974935368,0.260754871572669,0.000109289719257504,0.000195932073518634,0.111271488807023,0.000782154530286789,0.000386280795326456,0.000762882967479527,0.000377110929461196,0.241948940502161,0.000815693662967533,0.00375110851813304,0.102454120011178,0.000249750485178083,0.129411998909229,0.000824123452650383,0.000866484697442502,0.0447928282093773,0.00042958924989216,0.230074794446487,0.203007644137153,0.20674953873537,0.0838237112059073,0.000430985173443332,0.0640830891295338,0.151370121855674,0.000378667372278869,0.000445816998369992,0.18398756076726
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.000522043526405469,0.000842653016094118,0.000566943971207365,0.000699404443847015,0.0623446150332484,0.132152553181274,0.000286619279766455,0.000986744220601395,0.0641407205581736,0.120205253322079,0.205762055824484,0.000665781748481095,0.000386003940366209,0.390066361751509,0.254188690949246,0.0259003662977723,0.271600528075689,0.197022576429943,0.162791869544009,0.106073517736175,0.197583944813662,0.257198485987517,0.000288383492734283,0.000918515002122149,0.0425008460355889,0.000796142177889124,0.000714844175381586,0.174706608156443,0.123416398777513,0.235445593682616,0.000639897863846272,0.000832780137425289,0.0414267969284958,0.000948196299839765,0.0605278093701196,0.000963929317193106,0.0678801099208148,0.000211890734732151,0.196294968908388,0.0862845834953575,0.000767926573520526,0.263376354247536,0.173688012530395,0.000226245182799175,0.289791259483057,0.188620353181995,0.000493438208242878,0.000132236033212394,0.108206792835877
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.0808486595444289,0.000307043061591685,0.227774582125612,0.0807269480402753,0.280008783603963,0.000858977413270623,0.000727485716808587,0.000229318943573162,0.101528014231274,0.122946012975103,0.269028401203827,0.00056976852985099,0.0346044076810969,0.154851225578731,0.000855583178112283,0.0831172427601977,0.109294898723538,0.0358357083151153,0.325682595803915,0.298281324095916,0.0746444948550078,0.0942306853747987,0.000155073578935117,0.0960148310638727,0.000504434752743691,0.000928810305893421,0.0291637253081252,0.000939454352948815,0.000611125226598233,0.246880852079415,0.000501164543442428,0.22502003031018,0.0657675309858073,0.000603835060494021,0.120794278214,0.000790104156825691,0.0004428494006861,0.0181368696964044,0.000363504472654313,0.0663569086233955,0.0627556348581264,0.254952078547064,0.310103780955261,0.000591478411573917,0.209419470394731,0.013962648817995,0.000902395395096391,0.000328596134902909,0.171627302938784
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.16216749858327,0.000883000940084457,0.00045348255103454,0.000458431290229782,0.107687104248532,0.0165357070932779,0.181751393347017,0.000341428707353771,0.190064055700949,0.0333783090659183,2.26105591282249e-05,0.265322160416121,0.211580545028558,0.000488346147350967,0.126341220168604,0.000507790657225996,0.000443004160188139,0.000362404996762052,0.000335978312417865,0.100502033040827,0.254913452390929,0.254877412049685,0.167599848086584,0.00970334231036343,0.00091996071790345,0.000621506692375988,0.0184350688484561,0.260288240484641,0.0870154264584166,0.000941686812322587,0.00032363891415298,0.000576658290345222,0.146165294645701,0.237532671913021,0.000988631531596184,0.054877037420099,0.0713328715225382,0.201531939704745,0.0328870620766167,0.0754402634101804,0.000963233444949316,0.000900589006254449,0.127824916252369,0.181801714362634,0.0408269602640391,0.0864265726512872,0.000291568241780624,0.0625666315644185,0.145523948917971
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.0133266531723792,0.00033292887895368,0.000876010637963191,0.151639531660552,0.000379208314232528,0.000303631165996194,4.79392234701663e-05,0.155884143967574,0.0585111198413929,0.000937271599890664,0.000467413566075265,0.000474130670074373,0.0946820133219881,0.577501249592006,0.0126353057898258,0.397081488015814,0.502391491297529,0.0209675420855623,0.000520129911601543,0.206234907811371,0.0828334623289915,3.75881178770214e-05,0.0839659625080645,0.0920046951045988,0.0917559805754413,0.000166156456340104,0.275709472260147,0.000877497731009498,6.01073624566197e-05,0.0315781101259348,0.00081351700425148,0.000479286700254306,0.245939635783898,8.59230717178434e-05,0.0316243146522193,0.000643823018763214,0.137105864490505,0.0176123210376839,0.000785438203020021,0.120436520585734,0.0581637241206929,0.149697679827211,0.0193112711875899,0.000587614744668826,0.012351519060641,0.125664143084677,0.000853541647549719,0.000683261718600988,0.184424511718029
KEGG_GALACTOSE_METABOLISM,0.136233422004854,0.000335507856216282,0.000162400376284495,0.000226006772834808,0.102261031004183,0.000134611155139282,0.000183678135741502,0.000516303568845615,0.000539218114223331,3.97748243995011e-06,0.157353438537159,0.05069210565934,0.452377957867334,0.0267677476324239,0.000860951779177412,0.000538631272967905,0.0963549203395657,0.0829479716451522,0.0345754037541244,0.145199988674758,0.000515187707263976,0.139645679755957,0.000339070038869977,0.0417102700306205,0.0639575988891264,0.000262433478375897,0.0582585432786956,0.000819083291338757,0.000714243135415018,0.321151142596508,0.000127401012461632,0.238361810024991,0.312204484120577,0.000260028420714661,0.2460601031616,0.000136860088910908,0.125065811065599,0.257848005604166,0.00017780323443003,0.117244392528182,0.015836038398063,0.0659219136661085,0.156839834534328,0.109729494955182,0.177979758763656,0.0319646826897001,0.000975652790395543,0.000957229601684958,0.326426108213954
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,0.131968970558668,0.000823873218148947,0.205509489889387,0.0887484631286084,0.270474171375168,0.171853791014852,2.89300447329879e-05,0.215090823001006,0.18204641455266,0.000472686914727092,0.0181201195728846,0.000478884141193703,0.000831966527039185,0.103591425015322,0.000441711761988699,0.000249925922835246,0.000670775266364217,0.229718273191479,0.000612283885711804,0.111291350046302,0.0868243642705502,0.000591542547568679,0.00272990713794244,0.000525901745306328,0.0440927630892691,0.000132845478132367,0.231715612850781,0.234150838922675,0.000419164780294523,0.000430128765059635,0.0278011878346457,0.273519306661745,0.000342543519567698,0.251430145606381,0.220763300879788,0.113850252469785,0.139224161665572,0.000200603092089295,0.000470769498730078,0.000120310528436676,0.0678041042435292,0.000695993339642882,0.177526020219572,0.000321162144653499,0.329014050703207,0.0550418090957084,8.99143060669303e-05,0.113177926289715,0.143499954244965
KEGG_FATTY_ACID_METABOLISM,0.000153114570770413,0.000652739995159209,0.114916916792406,0.295494985804476,0.0955077868691897,0.1150116808184,0.19443164886008,0.134046163928239,0.000770148451905698,0.000486604362726212,0.0827356773835097,0.00487024125477893,0.0797519542103789,0.123491511683227,0.000584740297403187,0.000985181850846857,0.000805479528382421,0.574832327797458,0.000884177930187434,0.000432685832260177,0.0133687319877338,0.14697624035061,0.175514896460997,0.000703895426820964,0.079663331223863,0.000578364096116275,0.137495205948882,0.0115113627717193,0.241712755051933,0.12315382198027,0.000156692704884335,0.0147636649717467,0.0478787728316847,0.000866500940173864,0.176361129269147,0.000869868210982531,0.000685509205562994,7.16461278498173e-05,0.0583197184613923,0.00887878177145,0.343237929992744,0.000651828391943127,0.192234846536244,0.00075917261140421,0.12597162231718,0.162336873403082,0.0197201949813868,0.258293897230605,0.0063879071226672
KEGG_STEROID_BIOSYNTHESIS,0.00040956365596503,0.000393769474467263,0.104149869101,0.113136634579259,0.000411177050787956,0.0193988419638063,0.203753528767413,0.000129122124286368,0.0319846384902148,0.0375736049731748,2.43166796863079e-05,0.000177714888006449,0.000856975018978119,0.000200754573335871,0.000886731071863323,0.0744911419356546,0.000235699771437794,0.233453020645517,0.0385423574619487,0.000293787148781121,0.128119178984957,0.148215778679664,0.000944963638670743,0.000854829035233706,0.0198120008901111,0.106756796435968,0.000856663465965539,0.210984533959935,0.0229442255585451,0.142071697603289,0.000972084996988997,0.0901631851812761,0.166192324566186,0.000866811408428475,0.129230203142688,0.000500290487194434,0.00190570546217267,0.0020045585826401,0.000708808645838872,0.23581833103168,0.0262428024799384,0.0599956794021572,0.0298208898101483,0.000300689133116975,0.272430366369213,0.284424634957221,0.000820678608957678,0.179058611286995,0.083500092688101
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.0780208743446536,0.21855012719427,0.000772877383977175,0.0100601688796795,0.000996731824474409,0.00043489940953441,0.000999423782574013,0.126801255598701,0.164945032625297,0.000687797830207273,0.0605311548826283,0.269584744622202,0.193824584784471,0.241344021207696,0.117605936114023,0.270990987518199,0.000664322334108874,0.000564234729390591,0.000838846089318395,0.110969640541395,0.000399277009535581,0.0439690528307791,0.000372671239776537,0.00061296212952584,0.000909899801481515,0.0061626363584832,0.000720055799232796,0.36515563592756,0.047267572907116,0.000984129646793008,0.000216593260178342,0.0859618181576511,0.298795632230761,0.000950553523842245,0.000486119845882058,3.41717984993011e-05,8.66091740317643e-06,0.000777243251213804,0.000706681734183803,0.343826894964782,0.0398114103161758,0.0905180779615194,0.000740591787733138,0.0753567183024224,0.000341980392346159,0.0700423747330817,0.0578046923819902,0.00188331681916415,0.11988372373625
