,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV-transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.00318050480770072,0.00144919665271259,0.076628152707951,0.00375242804031245,0.230294984364835,0.0224120593945799,0.00337731926937301,0.002727424450968,0.167686177287488,0.222610289138736,0.55518739737824,0.109390981958969,0.149191836570018,0.44220519666998,0.200844462353062,0.024897904272499,0.485909913187042,0.001620086525628,0.0946631787626174,0.261347219821145,0.00246617403172312,0.158729996919358,0.00150906006759294,0.00118116190450412,0.00288692281154197,0.000549239589026696,0.00306642523557514,0.00123111832708056,0.000397425292034195,0.46644732500339,0.000378450729507303,0.00311835578514574,0.464748599484916,0.00179903052849873,0.405098774178896,0.0025723044442916,0.0015977083878262,0.00127292980144911,0.00154725857369718,0.0759470092163995,0.239512035204328,0.39954091259054,0.151306684734261,0.000116108386206602,0.0442990993132842,0.237279195844684,0.0029452320968855,0.0032239387957231,0.0762233946374124
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.00079308076778601,0.0019066086041642,0.00191976725770992,0.00226937604782745,0.189175129232496,0.146143498012422,0.00232567889390292,0.00241402421287859,0.349298385418487,0.357845919081941,0.00393880636514407,0.0627150927372965,0.441353380904084,0.350449188928462,0.0173274379628829,0.00171076726008202,0.63038853753703,0.803773344910875,0.00183707461975188,0.0214797129306865,0.259577345084827,0.182834657033424,0.0499984613659186,0.00362578363007148,0.000367775994424046,0.0048991319716841,0.00129142088485766,0.141395153079162,0.0246678847150418,0.464590982480764,0.000129292402013892,7.09001456843152e-05,0.0380993947039094,0.0358989911460191,0.298330902901324,0.00256468824482756,0.0630959280556225,0.000836355026950818,0.00197707236915993,0.082643626903091,0.318453631586553,0.111366029487903,0.0827737862078337,0.00242256582715409,0.277323622000912,0.400665393362085,0.00359059551096145,0.002738432654094,0.000114334046576642
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.257299734756157,0.00327286345569344,0.212159975698263,0.00250145714391307,0.0815644156681006,0.00313880553552503,0.00102452376968845,0.00103973202154116,0.170706089792072,0.00369911865760822,0.168180003209136,0.00105437219933355,0.334513652783109,0.364446508996901,0.00283068000178263,0.00285921028715874,0.309515544234241,0.071170786968724,0.232837327866432,0.0714740517822911,0.00137410529458691,0.0919379498920803,0.00123853112235617,0.000130490214114277,0.000872703117763365,0.00170208910837445,0.00386869864321779,0.00306173932277653,0.00163318557665403,0.309413428274628,2.32298322437806e-05,0.0822838260070618,0.482736423759567,0.00014776954090584,0.000262430004712003,0.000813206488902964,0.00258940823924344,0.27231372290064,0.00309017708715633,0.325581415898743,0.167980446028588,0.556087874972746,0.239909557993505,0.00391407998613431,0.0306941119254608,0.151382516404723,0.00164024364693401,0.000427067619239878,0.08222250965026
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.248780275666711,0.00220466932062953,5.31205996806975e-07,0.00197945455030538,0.455632550363901,0.0198303190532494,0.0023294391601612,0.00314631291140316,0.21348410965281,0.00122907840669817,0.0013382955813163,0.100399441108036,0.317484591621992,0.00134540214781459,0.456012263058236,0.000599572086243188,0.00126561654484698,0.00161085250270249,0.00376776124871514,0.444423984917023,0.169338165398157,0.117348247976603,0.601676808240753,0.195074563911065,0.234446353044397,0.00378685608223421,0.0505528610337137,0.38476254876264,0.237085541241184,0.00317129326062196,0.00342982701292543,0.00396620368079274,0.160009579834875,0.37220691830163,0.00253367262744287,0.140464116002423,0.000634778454465337,0.00324405297859607,0.089582754698639,0.486722640375352,0.346636462488602,0.00266329237244196,0.217156350925932,0.128036569160926,0.0816835368515645,0.162864563251076,0.0445794303232729,0.197076000082343,0.0787173512622233
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.187636340841675,0.00139965634289069,0.00243641154104745,0.169279606514629,0.232827442681472,0.000976169477894267,0.00171312962933584,0.25159386774505,0.0399123951441499,0.00241256854493945,0.00250693941986054,0.000630117465497273,0.333594915371,0.322995672196004,0.153988209080813,0.000518013388226689,0.266022066296121,0.311331288818101,0.000530220268531653,0.0865914413423607,0.00154105402110194,0.00163991514345062,0.0610944591868156,0.00797970744597568,0.00376434886403543,0.0036977182254899,0.0856043044894096,0.00249543951124123,0.00285397289208703,0.267136011106913,0.000734192913844999,0.00188242181973641,0.589134566748807,0.0295896489719268,0.202182518635295,0.000141613291730494,0.120608081081234,0.278842182381823,0.00362796412923747,0.280830417263922,0.142333134156176,0.375752751731377,0.311762635152351,0.0015701155208171,0.000630473548424086,0.367945664594809,0.0016427873977912,0.337514979246911,0.00115750681919218
KEGG_GALACTOSE_METABOLISM,0.0302640673787772,0.00212147045612017,0.000249279426221124,0.00222574622202776,0.0283064550243418,0.00127062263928173,0.00248488558661497,0.00306166595556185,0.000378701211733357,0.0758824627934196,0.199979767625891,0.0670843484443867,0.0392602517330872,0.152729074177992,3.03798497593884e-05,0.00238791004765851,0.0578588323073525,0.281953194331442,0.328215178650103,0.481742469315678,0.00257617337099867,0.288045780146229,0.300880707639645,0.13715348887041,0.00059351120832928,0.000904252394690161,0.136824287484345,0.00255063913230725,0.00112105104026519,0.314580980156278,0.0031996739075425,0.00148081529814065,0.164149090929135,0.0712636163282143,0.00323456970346136,0.000628177910596967,0.00308269564266588,0.0213063083347084,0.00148960895000639,0.154758016883897,0.0266358974754557,0.219546803738273,0.109236719024636,0.00124829041716553,0.00200544839726059,0.104988345410098,0.00055744771672114,0.00286426719417362,0.150756161080953
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,0.31207230339508,0.0032374889663209,0.190227966889429,0.215086836521972,0.247356504245094,0.221865105532352,0.126670603216476,0.0812955615866167,0.000802176605223706,0.0037977651332105,0.123404808557644,0.00275063146162556,0.038305813755053,0.276641103960923,0.00358833815474397,0.0013959843708941,0.00387001275355058,0.436097359592518,0.00341778430166965,0.00393159347402402,0.129493554367793,0.233131936557206,0.401570672307675,0.00289430661475495,0.0715005624940683,0.00225592422852439,0.0767742734128083,0.280127436721997,0.00362770881407407,0.00112566419297877,0.000894428467917677,0.0777005660507972,0.430249543824852,0.0292955863871039,0.0367889994290168,0.0743442375861734,0.000585688850810887,0.0025229008711886,0.0907913028449707,0.000924742412132064,0.138831168008537,0.0395455303250824,0.183238258914456,0.000719312891108693,0.103767289258323,0.0861829114862597,0.00144620602384892,0.00395529812150709,0.0625904556778829
KEGG_FATTY_ACID_METABOLISM,0.000965583718355583,0.00053142145923899,0.0387800675718911,0.289492174518833,0.39453687532831,0.146892169170753,0.279148430379555,0.309773204766864,0.00266055490644393,0.0024827494245975,0.221867652222563,0.000309779495784899,0.191522389857413,0.0985673218634581,0.00171989343917129,0.00260315152619467,0.00381749312786853,0.048291054665137,0.00119781883349937,0.000380379505307404,0.00056191241650405,0.0280454476891042,0.131787046054823,0.00260856173724373,0.00366674710282936,0.00273021624997117,0.296439997601154,0.291552466942407,0.0348600983040511,0.364945465874783,0.00236783250204711,0.058573782467908,0.602637459853289,0.0822700244253834,0.226586399673155,0.0487531400898434,0.000344656133287549,0.00989993030336118,0.00249504417437044,0.0863769883417469,0.0177792616964165,0.0373351170125771,0.230779274837866,0.00279784949592306,0.379811492359711,0.201653560052707,0.00290554471516786,0.136329676536413,0.00309299472177604
KEGG_STEROID_BIOSYNTHESIS,0.00229476521126823,0.00179559532872121,0.00246870707856026,0.00120217405529404,0.0011069415169549,0.00214630533892999,0.10889759467293,0.00152526936947537,0.364677270774242,0.00157731717215995,9.90404832762755e-05,0.00219559672930535,0.00122133595300247,0.000737377577635363,0.00296106783900821,0.00294536554583517,0.00172000558204156,0.418133256570563,0.00260230264401428,0.00367759065610346,0.0322043112654541,0.0019059473719316,0.0177379781546594,0.0024555867260894,0.00117399616928259,0.0871554214500726,0.00103121471655124,0.180568767004669,0.148792072905755,0.198201758182979,0.00298509587896268,0.0709369323091216,0.585776563197037,0.0028255700891056,0.154303039257394,0.00293479702136306,0.120693535851374,0.212454538497232,0.00128915916750281,0.412193961232752,0.119144776047341,0.251194567060633,0.478385561560559,0.000842264534931018,0.334893557347496,0.126641445692914,0.000777358046322532,0.127149008342305,0.000381468102663543
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.160035085553307,0.0663125355732642,0.0035505908164111,0.00119947197707549,0.000432685302709445,0.00160812690214962,0.0011250895507953,0.000588653067373091,0.125680550626307,0.00276462347707874,0.0851443503394998,0.0017435820973622,0.0837262343376186,0.483540328734439,0.00494772822923637,0.220155628862556,0.00189883645765778,0.541240083783607,0.000773866612436213,0.000275056007893694,0.000265365401229627,0.137891034045462,0.00202782952529175,0.00333156440917628,0.00104322452508796,0.00131116123807988,0.00124528195537479,0.0169034474093999,0.0474998650948024,0.297312517043305,0.00365087597107332,0.00299183466115304,0.18644840953525,0.140858152604699,0.00378707989061328,0.000352139534496593,0.00289869669598727,0.00291493223807886,0.00104733749103152,0.418518834414565,0.078715249177062,0.314544495239209,0.00241025694284688,0.118732434922942,0.00101545667033853,0.225094577920239,0.198196793217535,0.242754163438889,0.0327571301412515
